Frequency [Hz], Amplitude [dB], Phase [deg]
100, -1.482244, -173.113174
104.26015024193768, -1.467612, -173.353745
108.70178928471418, -1.452219, -173.5634
113.33264882391764, -1.438768, -173.766129
118.16078993698416, -1.427021, -173.941101
123.19461711536006, -1.410912, -174.129913
128.44289289445427, -1.401567, -174.292755
133.91475310684913, -1.389215, -174.480942
139.61972278532096, -1.375948, -174.652084
145.56773274335254, -1.368098, -174.819641
151.76913686200166, -1.357574, -175.000732
158.23473011321497, -1.348729, -175.150894
164.97576735096254, -1.339369, -175.294601
172.0039829029033, -1.33064, -175.4431
179.33161099668376, -1.322277, -175.591858
186.97140705642974, -1.314155, -175.73175
194.93666990649854, -1.307667, -175.874222
203.2412649211455, -1.299836, -176.005585
211.89964816040109, -1.293554, -176.136719
220.92689153417152, -1.287871, -176.270691
230.33870903836993, -1.281407, -176.395767
240.1514841087442, -1.276139, -176.517776
250.3822981400198, -1.270838, -176.636902
261.0489602200012, -1.266745, -176.754486
272.17003813038946, -1.26185, -176.872238
283.7648906682831, -1.257063, -176.987854
295.85370134462215, -1.253388, -177.094086
308.4575135182367, -1.24918, -177.201477
321.59826702665913, -1.246149, -177.306564
335.29883637746275, -1.242585, -177.408325
349.58307056661147, -1.240114, -177.509598
364.4758345931281, -1.237627, -177.606476
380.0030527423517, -1.234273, -177.69722
396.191753713126, -1.231841, -177.789902
413.07011766747286, -1.229137, -177.885422
430.667525284656, -1.227323, -177.970627
449.01460890501727, -1.224927, -178.054916
468.14330585261996, -1.223378, -178.141998
488.08691402951587, -1.220776, -178.222717
508.88014987840995, -1.219183, -178.302277
530.5592088146284, -1.217546, -178.382919
553.1618282325675, -1.21524, -178.455368
576.7273531963241, -1.214267, -178.534363
601.2968049288387, -1.213144, -178.605789
626.9129522187776, -1.211375, -178.679276
653.6203858694652, -1.210382, -178.747269
681.4655963194373, -1.208965, -178.816879
710.4970545697618, -1.207506, -178.892517
740.7652965589764, -1.208393, -178.953842
772.3230111325232, -1.205607, -179.015839
805.2251317598267, -1.205842, -179.084427
839.5289321586359, -1.203253, -179.154617
875.2941259931289, -1.203316, -179.207764
912.5829708192915, -1.20278, -179.268311
951.4603764585316, -1.20195, -179.328552
991.994017988172, -1.200496, -179.390991
1034.2544535455024, -1.200109, -179.46167
1078.3152471504725, -1.201023, -179.514175
1124.2530967608054, -1.199494, -179.578232
1172.1479677824516, -1.199068, -179.63176
1222.0832322678045, -1.19949, -179.687546
1274.1458140439413, -1.199097, -179.744583
1328.4263400235732, -1.196674, -179.805054
1385.0192979620526, -1.197778, -179.871384
1444.0232009350652, -1.196944, -179.917023
1505.5407588233381, -1.197386, 180.013184
1569.6790571028212, -1.198251, 179.960312
1636.5497432516322, -1.197216, 179.899643
1706.2692210981988, -1.194954, 179.834595
1778.95885344892, -1.197397, 179.781815
1854.745173348098, -1.196913, 179.716904
1933.7601043378145, -1.196819, 179.661713
2016.1411901012564, -1.194434, 179.595123
2102.0318338891625, -1.196273, 179.539886
2191.5815481461964, -1.197625, 179.467545
2284.946214771811, -1.193218, 179.41655
2382.288356468558, -1.194783, 179.332077
2483.7774196503065, -1.195324, 179.263504
2589.5900694027328, -1.195541, 179.205688
2699.9104970095873, -1.195092, 179.128555
2814.930740580045, -1.195427, 179.064957
2934.851019335244, -1.196001, 178.98996
3059.880082135965, -1.195407, 178.908951
3190.2355708580835, -1.196903, 178.836594
3326.144399248376, -1.196879, 178.756409
3467.843147920156, -1.196041, 178.670563
3615.5784761762957, -1.197079, 178.592056
3769.6075513765672, -1.19746, 178.507263
3930.198496596637, -1.197133, 178.417236
4097.63085735803, -1.198403, 178.326279
4272.196088241486, -1.199209, 178.236511
4454.198060230758, -1.198189, 178.127335
4643.953589670062, -1.197514, 178.021408
4841.792989755864, -1.20016, 177.933472
5048.060645523071, -1.199229, 177.817947
5263.1156133264885, -1.200642, 177.713898
5487.332245861076, -1.202441, 177.593155
5721.100843809052, -1.204028, 177.476242
5964.828335248082, -1.204629, 177.350449
6218.938984003321, -1.206879, 177.222458
6483.875128176302, -1.207187, 177.085999
6760.097950136235, -1.208509, 176.947861
7048.0882793141955, -1.211002, 176.80336
7348.347429197381, -1.207766, 176.644211
7661.398069980754, -1.214628, 176.504425
7987.785138394856, -1.215541, 176.336456
8328.076786293639, -1.216528, 176.177444
8682.865369653693, -1.219667, 175.994476
9052.768479706117, -1.221783, 175.811295
9438.430017996376, -1.224186, 175.640717
9840.521317243178, -1.228566, 175.431549
10259.742309947631, -1.23213, 175.235825
10696.82274678706, -1.231908, 175.021866
11152.523466913965, -1.237193, 174.794891
11627.637722371845, -1.241528, 174.578644
12122.992558933094, -1.245356, 174.336731
12639.45025576261, -1.247749, 174.098587
13177.909826413059, -1.254653, 173.828857
13739.30858376531, -1.261808, 173.554077
14324.623771637169, -1.266268, 173.274658
14934.874265901248, -1.27344, 173.022995
15571.122348073113, -1.27363, 172.686432
16234.475554456978, -1.283464, 172.404633
16926.08860406751, -1.291737, 172.073914
17647.16540868426, -1.305359, 171.728546
18398.961168537448, -1.306327, 171.357498
19182.784557272975, -1.321431, 171.006775
20000.000000000004, -1.330369, 170.621841
